Image,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Correct Answer
,For which of the following market structures are the most substitutes available for consumers?,Perfect competition.,Monopolistic competition.,Oligopoly.,Monopoly.,All of the above.,
,Which of the following market structures has the greatest degree of elasticity?,Perfect competition.,Monopolistic competition.,Oligopoly.,Monopoly.,All of the above.,
,Which of the following market structures has the largest number of sellers?,Perfect competition.,Monopolistic competition.,Oligopoly.,Monopoly.,All of the above.,
,Which of the following market structures is not a price maker?,Perfect competition.,Monopolistic competition.,Oligopoly.,Monopoly.,All of the above.,
,"The individual firm, operating under perfect competition, is characterized as:",a price-maker.,one of a few sellers.,a price strategist.,a price-taker.,interdependent.,
,Firms maximize their profits by producing a level of output at which,MC = AFC.,MC = MR.,P = ATC.,MR= AVC.,P = AVC.,
,"In the short run, the shut down price is equal to",minimum point on average total cost.,maximum point on average total cost.,minimum point on average variable cost.,maximum point on average variable cost.,minimum point on marginal cost.,
,The demand curve for the firm operating under perfect competition is,upward sloping to the right.,downward sloping to the right.,perfectly vertical line.,perfectly horizontal function.,concave to origin.,
,"Which of the following is not correct for the perfectly competitive firm, in the long run?",price = minimum average cost.,price = marginal revenue.,price = minimum average variable cost.,price = marginal cost.,normal profits.,
,Which of the following is not a characteristic of a kinked demand curve?,A range of marginal costs over which MR = MC.,P < MC.,Interdependence of rivals.,Pricing at the kink.,Demand curve discontinuous at the kink.,
,Which of the following is a characteristic of monopolistic competition?,P > MC.,Efficiency.,Mostly price competition.,P =MR.,Homogenous or similar products.,
,Which of the following is not a characteristic of oligopoly?,P = MC.,Price-maker.,Strong barriers to entry.,Few firms.,P > MR.,
,Which of the following is a characteristic of monopolistic competition?,Economically efficient in the long run.,Pricing at minimum ATC in long run.,Excess capacity.,Very few competitors.,Most dominant market structure in United States.,
,Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,Perfectly horizontal demand curve.,Highly inelastic demand curve.,Highly elastic demand curve.,A demand curve that is tangent to the average total cost curve.,A demand curve consisting of two discontinuous segments.,
https://img.crackap.com/ap/eco/br3/00260.jpg,The basis for the answer in number 1 is,"P or wage rate of labor > MRP of labor and with one additional unit of labor, wage rate < MRP.","P or wage rate of labor < MRP of labor and with one additional unit of labor WI, > MRP.",total revenue is at a maximum.,total output is at a maximum.,marginal physical product is at a maximum.,
https://img.crackap.com/ap/eco/br3/00260.jpg,Which of the following is not the basis for a wage differential?,Higher risk job.,Investment in human capital.,Increase in production of SUVs.,Racial discrimination.,Psychic income.,
https://img.crackap.com/ap/eco/br3/00260.jpg,A monopsonist is identified by one of the following:,A wage payment lower than the marginal revenue product of labor.,Employment level greater than that of a competitive labor market.,A wage payment higher than that of a competitive labor market.,A single seller of labor services.,A marginal factor cost curve lower than the supply curve.,
https://img.crackap.com/ap/eco/br3/00260.jpg,"If for two resources, Labor (L) and Capital (K), the ratios of their marginal physical products are MPPK/PK = MPPL/PL the firm should:",hire more capital (K) until the ratios are equal.,hire more labor (L) until the ratios are equal.,lower the price of capital (PK).,lower the price of labor (PL).,seek union membership for labor (L).,
https://img.crackap.com/ap/eco/br3/00260.jpg,The backward bending supply curve is characterized by which of the following?,"As wage rates rise, the quantity of labor supplied continues to rise at every wage rate increase.","The labor-leisure trade-off continues to favor the supply of more jobs, or the substitution effect.",The labor-leisure trade-off favors the income effect or more leisure at higher wage rates.,"inexperienced, low-income, younger workers at the backward bending portion.",discriminated workers.,
https://img.crackap.com/ap/eco/br3/00108.jpg,Which of the following is NOT a characteristic of perfectly competitive industry?,Free entry into the industry.,Product differentiation.,Perfectly elastic demand curve.,Homogeneous products.,Many sellers and many buyers.,
https://img.crackap.com/ap/eco/br3/00108.jpg,Which of the following is a characteristic of monopolistic competition in the long run?,Strong barriers to entry.,Homogeneous products.,Zero economic profits.,Minimum average total cost equals price.,Efficiency.,
https://img.crackap.com/ap/eco/br3/00108.jpg,Which of the following is characteristic of oligopoly?,I only.,II only.,III only.,I and III only.,II and III only.,
